Tag	ClassType	DataType	Property	Value
LIGHTS GROUND FRONT LEFT	IO_NIDAQSCXIDigitalInput	String	Format	
LIGHTS GROUND FRONT LEFT	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS GROUND FRONT LEFT	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(L4-2)  WIRE(0)
LIGHTS GROUND FRONT LEFT	IO_NIDAQSCXIDigitalInput	String	Units	
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Channel	7
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-8) IO(107)
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Tag	LIGHTS 1 FRONT CENTER
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Help	10
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	1
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	RawValue	
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Device	1
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Port	0
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Type	
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Mapping	
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Value	0
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Enabled	0
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Format	
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(L5-1)  WIRE(911A)
LIGHTS 1 FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Units	
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Channel	22
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-55) IO(222)
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Tag	LIGHTS 1 GROUND FRONT CENTER
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Help	10
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	2
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	RawValue	
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Device	1
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Port	0
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Type	
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Mapping	
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Value	0
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Enabled	0
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Format	
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(L5-2)  WIRE(0)
LIGHTS 1 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Units	
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Channel	8
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-9) IO(108)
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Tag	LIGHTS 2  FRONT CENTER
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Help	10
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	1
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	RawValue	
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Device	1
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Port	0
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Type	
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Mapping	
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Value	0
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Enabled	0
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Format	
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(L6-1)  WIRE(911A)
LIGHTS 2  FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Units	
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Channel	23
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-56) IO(223)
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Tag	LIGHTS 2 GROUND FRONT CENTER
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Help	10
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	2
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	RawValue	
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Device	1
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Port	0
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Type	
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Mapping	
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Int32	Value	0
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Enabled	0
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Format	
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(L6-2)  WIRE(0)
LIGHTS 2 GROUND FRONT CENTER	IO_NIDAQSCXIDigitalInput	String	Units	
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Channel	9
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-10) IO(109)
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Tag	LIGHTS FRONT RIGHT
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Help	10
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	1
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	RawValue	
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Device	1
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Port	0
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Type	
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Mapping	
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Value	0
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Enabled	0
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Format	
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(L7-1)  WIRE(911B)
LIGHTS FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Units	
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Channel	24
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-57) IO(224)
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Tag	LIGHTS GROUND FRONT RIGHT
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Help	10
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	2
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	RawValue	
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Device	1
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Port	0
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Type	
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Mapping	
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Int32	Value	0
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Enabled	0
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Format	
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(L7-2)  WIRE(0)
LIGHTS GROUND FRONT RIGHT	IO_NIDAQSCXIDigitalInput	String	Units	
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	Channel	10
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-11) IO(110)
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Tag	JOYSTICK POWER 1
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Help	7
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	1
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	RawValue	
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Device	1
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	Port	0
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Type	
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Mapping	
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Int32	Value	0
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Enabled	0
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Format	
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(M9-1)  WIRE(IGN1)
JOYSTICK POWER 1	IO_NIDAQSCXIDigitalInput	String	Units	
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	Channel	25
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-58) IO(225)
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Tag	JOYSTICK GROUND
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Help	7
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	2
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	RawValue	
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Device	1
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	Port	0
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Type	
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Mapping	
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Int32	Value	0
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Enabled	0
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Format	
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(M9-2)  WIRE(0)
JOYSTICK GROUND	IO_NIDAQSCXIDigitalInput	String	Units	
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Group	Digital Outputs
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Boolean	SaveRequired	False
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	Channel	19
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	Invert	1
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	CalType	0
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	Direction	1
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Description	BLK(B-50) IO(519)
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	ChassisID	1
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	ClassType	IO_NIDAQSCXIDigitalOutput
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Tag	ENGINE COOLANT TEMP SENDER
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Help	12
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	ModuleNmb	5
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	RawValue	
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Device	1
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	Port	0
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	ProgID	0
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Type	
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Mapping	
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Int32	Value	0
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	Boolean	RaisesEvent	False
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Enabled	0
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Format	
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Group	Digital Outputs
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Detail	CAB(M11-A)  WIRE(122)
ENGINE COOLANT TEMP SENDER	IO_NIDAQSCXIDigitalOutput	String	Units	
HORN	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
HORN	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
HORN	IO_NIDAQSCXIDigitalInput	Int32	Channel	13
HORN	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
HORN	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
HORN	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
HORN	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-14) IO(113)
HORN	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
HORN	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
HORN	IO_NIDAQSCXIDigitalInput	String	Tag	HORN
HORN	IO_NIDAQSCXIDigitalInput	String	Help	11
HORN	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	1
HORN	IO_NIDAQSCXIDigitalInput	String	RawValue	
HORN	IO_NIDAQSCXIDigitalInput	String	Device	1
HORN	IO_NIDAQSCXIDigitalInput	Int32	Port	0
HORN	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
HORN	IO_NIDAQSCXIDigitalInput	String	Type	
HORN	IO_NIDAQSCXIDigitalInput	String	Mapping	
HORN	IO_NIDAQSCXIDigitalInput	Int32	Value	0
HORN	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
HORN	IO_NIDAQSCXIDigitalInput	String	Enabled	0
HORN	IO_NIDAQSCXIDigitalInput	String	Format	
HORN	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
HORN	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(M11-C)  WIRE(993)
HORN	IO_NIDAQSCXIDigitalInput	String	Units	
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Boolean	SaveRequired	False
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	Channel	17
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	Invert	0
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	CalType	0
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	Direction	0
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Description	BLK(A-18) IO(117)
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	ChassisID	1
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	ClassType	IO_NIDAQSCXIDigitalInput
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Tag	FRONT/REAR WASHER
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Help	15
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	ModuleNmb	1
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	RawValue	
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Device	1
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	Port	0
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	ProgID	0
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Type	
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Mapping	
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Int32	Value	0
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	Boolean	RaisesEvent	False
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Enabled	0
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Format	
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Group	Digital Inputs
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Detail	CAB(M11-F)  WIRE(943)
FRONT/REAR WASHER	IO_NIDAQSCXIDigitalInput	String	Units	
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	String	Group	Digital Outputs
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	Boolean	SaveRequired	False
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	Int32	Channel	20
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	Int32	Invert	1
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	Int32	CalType	0
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	Int32	Direction	1
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	String	Description	BLK(B-23) IO(420)
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	Int32	ChassisID	1
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	String	ClassType	IO_NIDAQSCXIDigitalOutput
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	String	Tag	ALTERNATOR CHARGE LIGHT
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	String	Help	12
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	Int32	ModuleNmb	4
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	String	RawValue	
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	String	Device	1
ALTERNATOR CHARGE LIGHT	IO_NIDAQSCXIDigitalOutput	Int32	Port	0
